id,pid,name,description,price,s30,P030,LED Light Therapy Mask,มาส์กไฟ LED บำบัดสิว ลดการอักเสบ กระตุ้นคอลลาเจน,2990,47,Device,/images/p30.png
31,P031,Zinc Oxide Spot Cream,ครีมแต้มสิวซิงค์ออกไซด์ ลดความมัน แห้งเร็ว ไม่ระคายเคือง,290,184,Acne Treatment,/images/p31.png
32,P032,Peptide Anti-Aging Serum,เซรั่มเปปไทด์ ลดรอยสิว ชะลอริ้วรอย เพิ่มความกระชับ,1290,65,Serum,/images/p32.png
33,P033,Konjac Cleansing Sponge,ฟองน้ำล้างหน้าคอนยัค อ่อนโยน ผลัดเซลล์ผิวเก่า,120,187,Cleanser,/images/p33.png
34,P034,Propolis Ampoule,แอมพูลโพรพอลิส บำรุงผิว ลดการอักเสบ เพิ่มความชุ่มชื้น,980,106,Ampoule,/images/p34.png
35,P035,Facial Steamer Device,เครื่องอบไอน้ำหน้า เปิดรูขุมขน เตรียมผิวก่อนทำความสะอาด,1590,32,Device,/images/p35.png
36,P036,Blackhead Remover Vacuum,เครื่องดูดสิวเสี้ยน ทำความสะอาดรูขุมขน แรงดูด 3 ระดับ,890,119,Device,/images/p36.png
37,P037,Glycolic Acid Peel Pads,แผ่นผลัดเซลล์ผิว Glycolic Acid ผิวกระจ่างใส ลดรอยดำ,550,98,Exfoliator,/images/p37.png
38,P038,Cucumber Eye Gel Mask,มาส์กเจลใต้ตา แตงกวา ลดความบวม ถุงใต้ตา รอยคล้ำ,180,223,Eye Care,/images/p38.png
39,P039,Acne Scar Healing Oil,น้ำมันลดรอยแผลเป็นจากสิว ฟื้นฟูผิว ผิวเรียบเนียน,680,87,Treatment,/images/p39.png
40,P040,Sulfur Mask Anti-Acne,มาส์กซัลเฟอร์ ลดสิวอักเสบ ดูดซับความมัน ทำความสะอาดล้ำลึก,420,165,Mask,/images/p40.pngock,category,image_url
1,P001,Acne Clear Serum,เซรั่มแต้มสิว ลดการอักเสบ ผสม Salicylic Acid 2% ช่วยขจัดสิว,590,156,Acne Treatment,/images/p1.png
2,P002,Gentle Foam Cleanser,โฟมล้างหน้าอ่อนโยน ทำความสะอาดล้ำลึก เหมาะผิวมันและสิว,350,189,Cleanser,/images/p2.png
